# Collocations

# Corpus: nature_full
# Query:  word,[lc="nitrogen"|lemma_lc="nitrogen"] 14527

	Freq	T-score	MI	logDice	
dried	38	6.084	6.261	6.253	
active	38	5.667	3.631	5.599	
external	38	4.913	2.300	4.869	
utilization	38	6.083	6.234	6.250	
mineral	38	6.038	5.609	6.164	
nitrate	38	5.918	4.647	5.957	
amount	37	5.773	4.297	5.826	
A	37	2.826	0.901	3.807	
N2	37	5.902	5.074	6.032	
different	37	4.252	1.733	4.461	
isotopes	37	6.007	6.321	6.225	
sole	37	6.046	7.368	6.304	
low	37	5.150	2.705	5.107	
fluxes	37	5.896	5.026	6.022	
their	36	3.865	1.490	4.270	
ammonia	36	5.881	5.660	6.107	
intermediates	36	5.934	6.509	6.207	
data	36	3.116	1.057	3.928	
flux	36	5.629	4.015	5.704	
temperature	35	4.407	1.971	4.608	
added	35	5.545	3.993	5.670	
production	35	4.772	2.370	4.872	
C.	34	3.114	1.102	3.948	
In	34	1.339	0.376	3.342	
effect	34	5.000	2.811	5.115	
enrichment	34	5.641	4.937	5.907	
up	34	5.191	3.188	5.309	
within	34	4.531	2.165	4.725	
combined	32	5.398	4.452	5.723	
phosphate	32	5.424	4.603	5.762	
's	32	3.891	1.680	4.365	
storage	31	5.356	4.717	5.755	
atom	31	5.519	6.838	6.033	
?	31	4.976	3.235	5.260	
both	31	3.863	1.707	4.371	
required	31	5.016	3.336	5.305	
demand	30	5.401	6.175	5.938	
efficiency	30	5.178	4.195	5.584	
form	30	4.854	3.135	5.189	
net	30	5.239	4.522	5.672	
red	29	4.647	2.866	5.034	
'	29	2.680	0.993	3.814	
expression	29	3.994	1.953	4.507	
*	29	-6.729	-1.170	1.915	
composition	29	4.662	2.897	5.049	
measurements	29	4.804	3.211	5.196	
ratios	29	5.089	4.183	5.546	
before	29	4.696	2.966	5.083	
isotherm	29	5.370	8.493	6.003	
without	29	4.791	3.181	5.183	
contents	28	5.189	5.687	5.797	
reduction	28	4.698	3.156	5.143	
all	28	2.831	1.105	3.889	
status	28	5.183	5.603	5.786	
increase	27	4.100	2.245	4.649	
biologically	27	5.147	6.723	5.839	
Fixation	27	5.192	10.209	5.920	
influence	27	4.777	3.630	5.300	
molecular	27	4.496	2.892	4.994	
hydrogen	27	4.894	4.105	5.450	
P.	26	2.338	0.885	3.696	
chronic	26	4.996	5.634	5.696	
changes	26	3.587	1.754	4.322	
methane	26	4.681	3.609	5.257	
associated	26	4.083	2.328	4.674	
W.	26	3.522	1.693	4.282	
sites	26	4.233	2.558	4.800	
upshift	26	5.094	10.071	5.865	
Biological	26	4.936	4.970	5.602	
will	26	3.875	2.059	4.516	
soils	25	4.620	3.718	5.256	
pathways	25	4.483	3.275	5.097	
until	25	4.747	4.302	5.420	
regulator	25	4.860	5.163	5.585	
Nature	25	2.467	0.981	3.756	
along	25	4.432	3.137	5.042	
growth	25	3.230	1.499	4.132	
Soil	25	4.784	4.530	5.471	
S.	25	1.164	0.382	3.280	
saturation	25	4.926	6.079	5.690	
only	25	3.189	1.465	4.109	
denitrification	25	4.897	5.598	5.642	
elevated	25	4.786	4.545	5.474	
its	25	3.236	1.503	4.135	
via	24	4.405	3.311	5.075	
because	24	3.850	2.223	4.565	
relative	24	3.899	2.292	4.603	
these	24	1.563	0.554	3.410	
bioavailable	24	4.888	8.860	5.740	
climate	24	3.222	1.547	4.146	
plants	24	4.242	2.898	4.905	
gene	24	2.520	1.042	3.788	
then	23	3.646	2.060	4.445	
fertilizers	23	4.781	8.364	5.672	
measured	23	3.906	2.430	4.648	
leaf	23	4.593	4.560	5.382	
influences	23	4.687	5.464	5.520	
energy	23	3.816	2.291	4.575	
ammonium	23	4.621	4.778	5.422	
H.	23	2.567	1.105	3.818	
recycling	23	4.737	6.350	5.599	
ocean	23	3.746	2.191	4.520	
acquisition	23	4.644	4.981	5.455	
pools	23	4.700	5.639	5.539	
increases	23	4.309	3.300	5.032	
example	22	3.341	1.797	4.262	
process	22	3.920	2.607	4.703	
1	22	-0.939	-0.263	2.704	
limiting	22	4.586	5.486	5.466	
two	22	2.212	0.921	3.665	
amounts	22	4.467	4.389	5.296	
oxidized	22	4.590	5.540	5.471	
biomass	22	4.143	3.100	4.917	
following	22	4.093	2.973	4.866	
2	22	0.105	0.033	2.958	
balance	22	4.466	4.387	5.296	
terrestrial	22	4.377	3.905	5.181	
most	22	2.996	1.469	4.052	
higher	21	3.482	2.058	4.388	
View	21	2.515	1.149	3.812	
regulatory	21	4.281	3.928	5.137	
across	21	3.783	2.518	4.626	
incorporation	21	4.455	5.170	5.369	
processes	21	3.760	2.478	4.606	
release	21	4.201	3.588	5.042	
window	21	2.959	1.497	4.048	
+	21	1.272	0.469	3.303	
fixer	21	4.580	10.900	5.562	
retention	21	4.496	5.720	5.429	
yeast	21	4.294	3.991	5.153	
For	21	2.883	1.431	4.004	
E.	21	1.715	0.676	3.464	
waste	21	4.519	6.169	5.464	
potential	20	3.392	2.050	4.351	
argon	20	4.437	6.997	5.440	
primary	20	3.901	2.970	4.782	
protein	20	1.972	0.839	3.569	
TN	20	4.456	8.140	5.470	
pool	20	4.285	4.580	5.221	
crenarchaeota	20	4.454	7.913	5.466	
constraints	20	4.319	4.872	5.268	
budgets	20	4.445	7.373	5.453	
level	20	3.458	2.141	4.401	
base	20	4.236	4.241	5.156	
inventory	19	4.315	6.639	5.354	
determined	19	3.532	2.399	4.493	
present	19	3.208	1.921	4.247	
versus	19	3.904	3.262	4.840	
Massive	19	4.350	8.888	5.407	
where	19	3.078	1.767	4.159	
B.	19	2.020	0.898	3.592	
photosynthesis	19	4.160	4.455	5.138	
much	19	3.643	2.606	4.588	
Microbial	19	4.029	3.722	4.977	
doped	19	4.336	7.550	5.385	
transport	19	3.746	2.830	4.682	
loading	19	4.210	4.872	5.204	
nutrients	18	3.975	3.989	4.983	
Earth	18	3.348	2.246	4.380	
support	18	3.689	2.937	4.676	
site	18	3.305	2.178	4.346	
directly	18	3.736	3.067	4.722	
while	18	3.692	2.946	4.679	
co-limit	18	4.241	11.607	5.341	
containing	18	3.429	2.382	4.444	
stress	18	3.593	2.707	4.586	
Global	18	3.878	3.541	4.871	
application	18	3.969	3.955	4.975	
This	18	0.903	0.345	3.157	
kg	18	4.130	5.230	5.180	
F.	18	2.657	1.419	3.918	
we	18	0.219	0.077	2.944	
Reactive	18	4.234	8.881	5.330	
requirements	18	4.149	5.502	5.207	
Inorganic	17	4.104	7.767	5.233	
respectively	17	2.872	1.720	4.064	
it	17	1.111	0.453	3.221	
gain	17	3.994	4.994	5.080	
about	17	2.874	1.723	4.066	
occurs	17	3.771	3.548	4.813	
one	17	2.181	1.086	3.673	
D.	17	0.532	0.200	3.026	
Dissolved	17	4.098	7.332	5.223	
L.	17	1.403	0.600	3.331	
accumulation	16	3.613	3.371	4.701	
presence	16	2.952	1.933	4.138	
turnover	16	3.842	4.660	4.961	
nutrition	16	3.961	6.665	5.118	
controls	16	3.619	3.391	4.707	
pathway	16	3.210	2.340	4.332	
lost	16	3.851	4.751	4.973	
K.	16	1.602	0.738	3.407	
coupling	16	3.822	4.490	4.937	
We	16	1.062	0.445	3.194	
limits	16	3.842	4.661	4.961	
purged	16	3.993	9.230	5.164	
ambient	16	3.810	4.393	4.922	
pure	16	3.809	4.391	4.921	
and/or	16	3.708	3.776	4.803	
b	16	1.708	0.803	3.452	
N.	16	2.507	1.421	3.854	
bacterial	16	1.664	0.776	3.433	
would	16	2.595	1.509	3.906	
responsible	16	3.709	3.781	4.804	
dry	16	3.733	3.908	4.832	
important	15	2.613	1.620	3.928	
C	15	2.320	1.318	3.755	
contain	15	3.487	3.328	4.622	
groups	15	2.967	2.096	4.170	
evidence	15	2.943	2.058	4.153	
decrease	15	3.371	2.949	4.508	
Effects	15	3.685	4.368	4.839	
Phosphorus	15	3.858	8.050	5.060	
deprivation	15	3.847	7.225	5.045	
gases	15	3.671	4.260	4.822	
DON	15	3.862	8.424	5.065	
adsorption/desorption	15	3.868	9.692	5.074	
key	15	3.343	2.869	4.482	
leaching	15	3.846	7.186	5.044	
might	15	2.836	1.901	4.076	
forest	15	3.377	2.965	4.513	
nitrogen	15	2.935	2.046	4.147	
how	15	3.035	2.209	4.222	
removed	14	3.409	3.490	4.589	
Effect	14	3.569	4.441	4.765	
regulates	14	3.562	4.381	4.756	
Although	14	2.733	1.891	4.021	
indicates	14	3.046	2.428	4.257	
long-term	14	3.335	3.202	4.515	
silicon	14	3.579	4.524	4.776	
change	14	1.814	0.957	3.492	
experiments	14	2.340	1.417	3.771	
whether	14	3.062	2.461	4.270	
no	14	1.920	1.039	3.544	
light	14	2.600	1.712	3.931	
released	14	3.509	4.009	4.697	
DIN	14	3.737	9.508	4.974	
Revising	14	3.740	11.389	4.979	
`	14	1.502	0.741	3.349	
information	14	-0.804	-0.281	2.586	
increasing	14	3.098	2.539	4.300	
delivery	14	3.571	4.457	4.767	
5	14	-0.006	-0.002	2.807	
acquire	14	3.693	6.266	4.917	
European	14	3.514	4.042	4.702	
lower	14	2.618	1.736	3.943	
patterns	13	2.706	2.004	4.016	
sink	13	3.466	4.688	4.702	
rich	13	3.481	4.851	4.720	
each	13	0.387	0.164	2.908	
especially	13	3.310	3.611	4.533	
derived	13	2.959	2.479	4.210	
reduce	13	3.268	3.416	4.490	
caused	13	3.152	2.990	4.378	
15N	13	3.488	4.943	4.729	
upon	13	3.273	3.441	4.495	
hectare	13	3.591	7.938	4.855	
biogeochemical	13	3.441	4.456	4.674	
distribution	13	2.365	1.539	3.789	
whereas	13	2.637	1.896	3.967	
well	13	2.067	1.229	3.617	
essential	13	3.150	2.983	4.376	
controlled	13	3.277	3.457	4.499	
back-diffusion	13	3.604	11.360	4.872	
Cycling	13	3.589	7.795	4.853	
10	13	0.615	0.270	2.986	
studies	13	1.891	1.073	3.524	
some	13	2.014	1.179	3.588	
produced	12	2.696	2.173	4.022	
bacteria	12	0.832	0.396	3.043	
treatments	12	3.168	3.550	4.429	
being	12	2.771	2.321	4.079	
gross	12	3.405	5.870	4.686	
been	12	-0.808	-0.303	2.523	
c	12	1.535	0.845	3.339	
experimental	12	2.771	2.322	4.079	
Complex	12	3.412	6.059	4.695	
impacts	12	3.140	3.420	4.401	
organisms	12	2.682	2.147	4.011	
system	12	1.560	0.863	3.351	
gaseous	12	3.429	6.643	4.716	
stocks	12	3.369	5.186	4.644	
deposited	12	3.238	3.940	4.500	
element	12	3.266	4.129	4.530	
percentage	12	3.162	3.520	4.423	
three	12	1.587	0.884	3.364	
All	12	2.596	1.997	3.949	
excretion	12	3.436	6.923	4.723	
substrate	12	2.734	2.245	4.050	
supporting	12	3.338	4.776	4.608	
G.	12	0.557	0.253	2.942	
rapidly	12	3.135	3.394	4.396	
various	12	2.773	2.325	4.080	
urea	12	3.375	5.278	4.651	
activity	12	1.406	0.751	3.280	
abundant	12	2.930	2.699	4.209	
regulated	12	3.250	4.018	4.513	
enhances	12	3.359	5.047	4.633	
deficiency	12	3.367	5.162	4.642	
Data	12	2.257	1.521	3.725	
supplied	12	3.382	5.402	4.659	
measurement	12	3.173	3.571	4.433	
substrates	11	2.885	2.943	4.191	
efficient	11	2.998	3.380	4.294	
resulting	11	2.575	2.160	3.940	
enhanced	11	2.853	2.838	4.163	
applied	11	2.785	2.641	4.105	
suggests	11	2.638	2.290	3.988	
should	11	2.320	1.735	3.763	
controlling	11	3.151	4.325	4.447	
kept	11	3.180	4.598	4.478	
amino	11	2.697	2.420	4.034	
affect	11	2.843	2.807	4.154	
recovery	11	3.089	3.864	4.383	
observed	11	0.921	0.469	3.052	
Regulation	11	3.195	4.774	4.495	
estimated	11	2.628	2.268	3.980	
flushed	11	3.296	7.306	4.608	
share	11	3.183	4.628	4.481	
NH4	11	3.214	5.009	4.515	
provide	11	2.442	1.923	3.845	
if	11	2.333	1.754	3.771	
tonnes	11	3.271	6.170	4.579	
supplies	11	3.280	6.511	4.590	
either	11	2.396	1.849	3.813	
Terrestrial	11	3.273	6.253	4.582	
further	11	2.075	1.418	3.610	
methane-consuming	11	3.315	10.967	4.631	
Full	11	0.205	0.092	2.791	
implantation	11	3.292	7.094	4.604	
decreased	11	2.857	2.850	4.166	
Atlantic	11	2.434	1.910	3.839	
had	11	2.103	1.450	3.627	
respiration	11	2.994	3.361	4.290	
nitrous	11	3.260	5.875	4.567	
Assessment	11	3.214	5.015	4.515	
particular	11	2.764	2.586	4.088	
due	11	2.214	1.589	3.695	
Trichodesmium	11	3.214	5.008	4.514	
impact	11	2.695	2.417	4.033	
Article	10	-17.500	-2.708	0.377	
particularly	10	2.726	2.856	4.067	
formation	10	1.658	1.072	3.364	
shown	10	0.253	0.121	2.771	
additional	10	2.487	2.227	3.877	
show	10	1.590	1.008	3.328	
found	10	1.031	0.569	3.069	
land	10	2.631	2.573	3.988	
management	10	2.888	3.526	4.212	
transferred	10	2.860	3.387	4.186	
Ecol	10	2.298	1.871	3.743	
metabolic	10	2.174	1.679	3.661	
year	10	2.566	2.407	3.937	
average	10	1.874	1.295	3.481	
range	10	1.684	1.097	3.377	
times	10	2.268	1.822	3.723	
Fig.	10	-4.617	-1.299	1.655	
preferred	10	3.091	5.462	4.416	
Keywords	10	3.079	5.240	4.403	
4	10	-0.895	-0.360	2.420	
relation	10	2.982	4.132	4.303	
diversity	10	1.255	0.730	3.167	
As	10	1.766	1.179	3.421	
matter	10	2.683	2.722	4.031	
alternative	10	2.788	3.078	4.121	
variations	10	2.661	2.659	4.013	
needed	10	2.829	3.246	4.157	
transformation	10	2.960	3.969	4.281	
P	10	0.665	0.340	2.921	
known	10	1.821	1.238	3.451	
decreases	10	2.914	3.674	4.237	
enriched	10	2.892	3.546	4.215	
cellular	10	2.365	1.988	3.789	
need	10	2.671	2.686	4.021	
gradient	10	2.647	2.618	4.002	
nitrite	10	2.915	3.678	4.238	
convert	10	3.089	5.434	4.414	
heavy	10	2.962	3.981	4.283	
Symbiotic	10	3.146	7.589	4.477	
sequestration	10	3.062	4.982	4.385	
|	10	-31.161	-3.440	-0.322	
responses	10	2.375	2.006	3.796	
decomposition	10	2.962	3.981	4.283	
percent	10	3.069	5.076	4.392	
dominant	10	2.756	2.961	4.093	
values	10	1.405	0.848	3.237	
O.	10	2.475	2.202	3.868	
study	10	0.679	0.349	2.926	
Cycle	10	3.130	6.601	4.459	
backbone	10	3.082	5.300	4.407	
oxidation	10	2.424	2.098	3.831	
several	10	1.958	1.393	3.529	
plots	10	2.786	3.070	4.119	
Samples	10	2.953	3.914	4.274	
overall	10	2.721	2.842	4.063	
determine	10	2.574	2.427	3.944	
acid	9	1.204	0.740	3.111	
compound	9	2.731	3.481	4.078	
assessment	9	2.766	3.681	4.110	
communities	9	1.335	0.850	3.173	
aerobic	9	2.783	3.788	4.125	
they	9	0.956	0.554	3.001	
warming	9	2.055	1.667	3.569	
litter	9	2.834	4.179	4.174	
g	9	1.883	1.425	3.464	
does	9	2.202	1.911	3.666	
kilograms	9	2.993	8.752	4.336	
min	9	1.494	0.995	3.252	
fixes	9	2.994	9.045	4.337	
recycled	9	2.954	6.019	4.294	
fractionation	9	2.850	4.322	4.189	
emission	9	2.566	2.789	3.936	
inside	9	2.738	3.516	4.084	
flows	9	2.867	4.493	4.206	
productivity	9	2.587	2.859	3.953	
immobilization	9	2.967	6.520	4.308	
labelled	9	2.791	3.842	4.133	
interactions	9	1.817	1.343	3.426	
Segregation	9	2.996	9.540	4.339	
fraction	9	2.314	2.128	3.743	
remove	9	2.770	3.704	4.113	
constrains	9	2.985	7.669	4.328	
Growth	9	2.816	4.031	4.157	
flowing	9	2.949	5.883	4.289	
natural	9	1.748	1.261	3.387	
enters	9	2.956	6.099	4.297	
indicate	9	1.674	1.178	3.346	
reservoir	9	2.806	3.952	4.147	
''	9	1.891	1.435	3.469	
quantities	9	2.892	4.801	4.231	
phytoplankton	9	2.570	2.802	3.939	
signal	9	2.073	1.694	3.580	
results	8	0.172	0.091	2.646	
Influence	8	2.735	4.924	4.081	
geological	8	2.686	4.314	4.035	
Abstract	8	1.663	1.279	3.305	
To	8	0.765	0.455	2.874	
bulk	8	2.496	3.088	3.868	
contains	8	2.309	2.445	3.721	
onto	8	2.387	2.680	3.781	
Supplementary	8	-5.193	-1.504	1.433	
must	8	2.231	2.244	3.664	
proteins	8	-0.068	-0.034	2.564	
gradients	8	2.577	3.492	3.937	
analyzed	8	2.282	2.371	3.701	
sinks	8	2.731	4.857	4.077	
importance	8	2.328	2.500	3.736	
synthesis	8	1.779	1.431	3.372	
highly	8	1.683	1.305	3.316	
moisture	8	2.624	3.789	3.978	
suggest	8	1.927	1.649	3.461	
contributes	8	2.670	4.162	4.020	
imaging	8	2.100	1.957	3.573	
3	8	-3.069	-1.060	1.801	
out	8	1.437	1.023	3.184	
less	8	1.595	1.198	3.268	
These	8	0.384	0.210	2.723	
fate	8	2.703	4.498	4.051	
depletion	8	2.580	3.508	3.939	
affects	8	2.625	3.797	3.979	
makes	8	2.630	3.830	3.983	
abundance	8	1.365	0.950	3.147	
