# Collocations

# Corpus: nature_full
# Query:  word,[lc="nitrogen"|lemma_lc="nitrogen"] 14527

	Freq	T-score	MI	logDice	
indicated	6	1.024	0.781	2.852	
bacterium	6	1.978	2.378	3.392	
newly	6	2.242	3.561	3.586	
large	6	0.098	0.059	2.470	
stimulate	6	2.329	4.350	3.656	
generated	6	1.330	1.129	3.004	
Marine	6	1.953	2.304	3.375	
extracted	6	1.919	2.208	3.352	
X-ray	6	2.098	2.800	3.477	
Balancing	6	2.443	8.532	3.753	
After	6	1.530	1.413	3.113	
green	6	1.370	1.182	3.025	
enough	6	2.152	3.040	3.516	
influenced	6	2.210	3.357	3.561	
V.	6	0.918	0.677	2.802	
condition	6	2.165	3.106	3.526	
feedbacks	6	2.278	3.839	3.614	
reducing	6	2.079	2.724	3.463	
exported	6	2.390	5.367	3.707	
open	6	1.718	1.744	3.224	
crop	6	2.220	3.418	3.569	
salmon	6	2.379	5.129	3.698	
h	6	0.314	0.198	2.550	
therefore	6	1.427	1.260	3.056	
abundances	6	2.067	2.678	3.454	
migration	6	2.152	3.044	3.517	
amine	6	2.405	5.789	3.720	
Science	6	-0.339	-0.187	2.320	
yield	6	1.830	1.982	3.293	
streams	6	2.308	4.112	3.638	
evaporated	6	2.413	6.079	3.727	
aromatic	6	2.281	3.863	3.617	
reactions	6	1.726	1.760	3.229	
donor	6	2.248	3.606	3.591	
Table	6	-1.123	-0.544	2.084	
adds	6	2.397	5.538	3.713	
analyses	6	0.943	0.701	2.814	
lack	6	1.916	2.198	3.350	
central	6	1.740	1.789	3.237	
determination	6	2.175	3.157	3.534	
distributions	6	1.981	2.385	3.394	
homogenized	6	2.386	5.262	3.703	
immediately	6	2.174	3.154	3.533	
limitations	6	2.280	3.854	3.616	
based	6	0.212	0.130	2.512	
wet	6	2.263	3.712	3.602	
induced	6	1.678	1.667	3.199	
capacity	6	1.833	1.990	3.296	
limit	6	2.051	2.620	3.443	
weight	6	1.897	2.149	3.337	
PON	6	2.446	9.285	3.755	
relationship	6	1.629	1.578	3.170	
N2O	6	2.194	3.262	3.549	
tissue	6	1.557	1.457	3.129	
minimal	6	2.172	3.144	3.532	
signatures	6	2.313	4.162	3.642	
coupled	6	1.903	2.163	3.341	
do	6	1.253	1.034	2.964	
entering	6	2.393	5.429	3.709	
pairing	6	2.426	6.721	3.738	
provided	6	1.568	1.474	3.135	
autotrophic	6	2.351	4.636	3.674	
replaced	6	2.285	3.900	3.620	
helium	6	2.410	5.955	3.724	
DOC	6	2.281	3.858	3.616	
result	6	1.117	0.878	2.896	
number	6	-0.463	-0.250	2.280	
relatively	6	1.557	1.457	3.129	
cascade	6	2.337	4.449	3.662	
appears	6	2.168	3.122	3.529	
annual	6	1.836	1.998	3.298	
model	6	-1.534	-0.702	1.974	
HN	6	2.433	7.205	3.744	
molecule	6	2.061	2.658	3.450	
report	6	2.028	2.538	3.426	
30	6	0.362	0.231	2.569	
line	6	1.046	0.804	2.862	
enzymes	6	1.534	1.419	3.115	
benthic	6	2.226	3.455	3.573	
regional	6	1.981	2.388	3.394	
estimate	6	1.800	1.915	3.275	
focusing	6	2.370	4.937	3.689	
regulate	6	2.180	3.182	3.537	
lignin	6	2.399	5.594	3.714	
degreesC	6	-0.706	-0.366	2.204	
scarce	6	2.403	5.707	3.718	
host	6	0.534	0.355	2.637	
compared	6	0.639	0.436	2.681	
specific	6	0.779	0.552	2.741	
Figure	6	-5.191	-1.641	1.250	
exceeding	6	2.371	4.965	3.691	
temperatures	6	1.441	1.281	3.064	
pageIntroduction	6	2.344	4.535	3.668	
movement	6	2.211	3.362	3.562	
area	6	0.943	0.701	2.814	
monoxide	6	2.391	5.387	3.708	
size	6	-2.847	-1.113	1.671	
chemistry	6	2.006	2.465	3.411	
diatom-bound	6	2.449	11.415	3.758	
subsequently	6	2.138	2.976	3.506	
riverine	6	2.395	5.478	3.711	
potassium	6	2.311	4.145	3.641	
produce	6	1.674	1.659	3.197	
community	6	-0.026	-0.015	2.426	
dietary	6	2.287	3.918	3.622	
Frozen	6	2.437	7.660	3.748	
varying	6	2.204	3.321	3.556	
Original	6	2.197	3.280	3.551	
gray	6	2.323	4.271	3.650	
Atmospheric	6	2.183	3.199	3.540	
purity	6	2.375	5.042	3.694	
obtain	6	2.095	2.787	3.474	
roles	6	2.048	2.609	3.441	
leads	6	2.000	2.446	3.407	
treatment	6	1.033	0.790	2.856	
regenerated	6	2.422	6.455	3.734	
included	6	1.811	1.941	3.282	
cell	6	-3.387	-1.253	1.563	
It	5	0.237	0.161	2.411	
arginine	5	2.144	4.608	3.423	
down	5	1.784	2.305	3.170	
requires	5	1.711	2.090	3.123	
day	5	1.306	1.266	2.891	
Next	5	0.626	0.474	2.568	
dopants	5	2.228	8.107	3.489	
index	5	0.023	0.015	2.332	
Because	5	1.634	1.894	3.076	
fixation1	5	2.235	10.982	3.495	
pressure	5	1.443	1.495	2.965	
loads	5	2.192	5.660	3.460	
product	5	1.565	1.737	3.035	
cyanobacterial	5	2.004	3.266	3.319	
Refactoring	5	2.235	10.982	3.495	
bound	5	1.837	2.486	3.204	
foliar	5	2.212	6.529	3.476	
defined	5	1.442	1.493	2.964	
periods	5	1.712	2.093	3.124	
Intensive	5	2.230	8.537	3.491	
science	5	1.812	2.399	3.188	
delivered	5	2.128	4.369	3.411	
usually	5	1.896	2.716	3.244	
ring	5	1.958	3.006	3.286	
even	5	0.868	0.709	2.675	
efficiently	5	2.064	3.697	3.362	
enhance	5	1.966	3.048	3.292	
requirement	5	2.094	3.980	3.385	
incorporated	5	2.064	3.703	3.363	
analyser	5	2.195	5.776	3.463	
access	5	1.944	2.937	3.277	
lyophilized	5	2.212	6.537	3.476	
If	5	1.555	1.715	3.029	
balances	5	2.207	6.263	3.472	
plant-available	5	2.227	7.962	3.488	
shortage	5	2.221	7.257	3.484	
free	5	1.728	2.139	3.134	
tuberculosis	5	1.877	2.637	3.231	
majority	5	1.901	2.736	3.247	
residue	5	1.991	3.192	3.310	
laser	5	1.816	2.413	3.191	
producing	5	1.966	3.048	3.292	
delta15N	5	2.165	4.982	3.439	
simulated	5	1.866	2.594	3.223	
suggested	5	1.580	1.770	3.044	
obtained	5	0.367	0.258	2.462	
owing	5	1.645	1.919	3.083	
side-chain	5	2.222	7.331	3.484	
changing	5	1.885	2.670	3.236	
Sources	5	2.161	4.889	3.436	
Reduced	5	2.180	5.309	3.451	
observations	5	1.164	1.061	2.817	
Whereas	5	2.108	4.131	3.396	
Base	5	2.219	7.022	3.482	
states	5	1.816	2.412	3.190	
mycorrhizal	5	2.091	3.946	3.383	
log	5	2.071	3.759	3.368	
manure	5	2.203	6.085	3.469	
litre	5	2.202	6.033	3.468	
correlated	5	1.746	2.189	3.145	
molecules	5	1.092	0.967	2.781	
except	5	1.838	2.488	3.205	
now	5	1.393	1.408	2.938	
period	5	0.861	0.701	2.671	
permease	5	2.202	6.033	3.468	
enter	5	2.125	4.330	3.408	
general	5	1.437	1.484	2.962	
require	5	1.774	2.275	3.163	
presumably	5	2.064	3.703	3.363	
Salmonella	5	1.905	2.756	3.250	
remains	5	1.599	1.812	3.055	
fungi	5	1.719	2.114	3.129	
mass	5	0.513	0.376	2.521	
depleted	5	2.053	3.611	3.355	
d	5	-0.009	-0.006	2.320	
``	5	0.793	0.631	2.641	
mobilization	5	2.192	5.668	3.460	
subjected	5	1.926	2.852	3.265	
exceeds	5	2.150	4.692	3.427	
synthetic	5	1.736	2.162	3.139	
corresponding	5	1.200	1.110	2.835	
problem	5	1.868	2.605	3.225	
medium	5	0.982	0.834	2.728	
free-living	5	2.090	3.932	3.382	
table	5	1.417	1.448	2.950	
yr-1	5	1.770	2.262	3.161	
converting	5	2.189	5.570	3.458	
characterized	5	1.602	1.818	3.057	
poor	5	2.031	3.450	3.339	
better	5	1.639	1.905	3.079	
At	5	0.971	0.822	2.723	
case	5	1.171	1.069	2.820	
RNA	5	0.611	0.460	2.561	
usage	5	2.161	4.896	3.436	
improve	5	1.925	2.846	3.264	
react	5	2.160	4.868	3.435	
Stable	5	2.143	4.582	3.422	
symbiosis	5	2.044	3.542	3.348	
consumption	5	1.778	2.288	3.166	
followed	5	1.289	1.239	2.881	
agricultural	5	1.943	2.931	3.276	
nutrient	5	1.393	1.408	2.938	
internal	5	1.725	2.129	3.132	
However	5	-0.512	-0.297	2.151	
intracellular	5	1.589	1.790	3.049	
completely	5	1.888	2.683	3.238	
recently	5	1.536	1.676	3.018	
include	5	1.464	1.534	2.977	
glutamine	5	2.112	4.167	3.398	
kilogram	5	2.224	7.479	3.485	
currently	5	1.868	2.604	3.225	
inert	5	2.191	5.648	3.460	
maintain	5	1.947	2.953	3.279	
metabolites	5	1.844	2.510	3.209	
seems	5	1.699	2.058	3.116	
previously	5	0.892	0.734	2.686	
reduces	5	2.009	3.297	3.322	
operation	5	2.110	4.153	3.397	
systems	5	0.383	0.271	2.468	
seawater	5	1.715	2.102	3.126	
combination	5	1.646	1.922	3.083	
Ile	5	2.219	7.043	3.482	
Geoscience	5	2.140	4.546	3.420	
orange	5	1.995	3.213	3.313	
resources	5	1.871	2.614	3.227	
functional	5	0.747	0.587	2.620	
direct	5	1.262	1.199	2.867	
human	5	-0.780	-0.432	2.068	
New	5	0.938	0.785	2.707	
Chronic	5	2.216	6.785	3.479	
rock	5	2.003	3.264	3.319	
own	5	2.017	3.352	3.329	
surplus	5	2.222	7.344	3.484	
ions	5	1.759	2.230	3.154	
CaCO3	5	2.143	4.584	3.422	
expressed	5	1.272	1.213	2.872	
integrated	5	1.810	2.390	3.186	
Coupled	5	2.187	5.519	3.457	
add	5	2.132	4.424	3.414	

