# Collocations

# Corpus: nature_full
# Query:  word,[lc="carbon"|lemma_lc="carbon"] 38866

	Freq	T-score	MI	logDice	
nanoparticles	80	8.552	4.513	5.909	
much	92	8.721	3.462	5.907	
dehydrogenase	75	8.471	5.518	5.902	
Atmospheric	74	8.399	5.404	5.878	
year	82	8.498	4.023	5.877	
sp2	70	8.351	9.080	5.877	
consumption	76	8.404	4.794	5.870	
intensity	81	8.460	4.060	5.867	
over	124	9.101	2.452	5.866	
Global	79	8.423	4.255	5.862	
up	93	8.609	3.220	5.861	
was	386	12.891	1.540	5.849	
biological	87	8.481	3.461	5.845	
old	71	8.238	5.487	5.826	
water	134	9.121	2.237	5.824	
reduction	86	8.367	3.355	5.808	
changes	114	8.745	2.466	5.803	
feedbacks	68	8.110	5.922	5.786	
are	404	12.720	1.446	5.782	
labile	66	8.066	7.141	5.775	
reduce	72	8.101	4.465	5.768	
Total	68	8.063	5.494	5.767	
their	141	8.988	2.040	5.756	
may	126	8.755	2.184	5.753	
substrate	79	8.126	3.544	5.751	
allocation	64	7.955	7.473	5.736	
catabolite	63	7.922	8.995	5.725	
tropical	76	8.008	3.618	5.719	
support	76	7.997	3.595	5.715	
cumulative	64	7.894	6.231	5.711	
,	5126	38.882	1.130	5.703	
budgets	62	7.833	7.586	5.692	
autotrophic	62	7.792	6.586	5.676	
active	78	7.902	3.248	5.675	
fix	61	7.760	7.269	5.665	
store	61	7.757	7.193	5.664	
has	143	8.607	1.835	5.649	
including	86	7.891	2.746	5.645	
TOC	60	7.703	7.490	5.644	
contents	62	7.689	5.414	5.636	
based	89	7.879	2.601	5.632	
ancient	62	7.674	5.302	5.631	
nutrients	65	7.686	4.422	5.631	
rate	92	7.896	2.500	5.627	
both	110	8.066	2.115	5.617	
nutrient	68	7.635	3.753	5.607	
within	98	7.850	2.272	5.594	
repression	58	7.534	6.543	5.581	
due	76	7.596	2.958	5.577	
estimates	67	7.528	3.638	5.571	
photosynthetic	60	7.479	4.859	5.560	
thin	60	7.464	4.781	5.555	
decomposition	59	7.461	5.122	5.553	
would	85	7.589	2.499	5.553	
high	103	7.746	2.078	5.550	
low	85	7.573	2.485	5.548	
POC	56	7.434	7.257	5.543	
annual	63	7.431	3.971	5.541	
all	122	7.892	1.808	5.535	
deep	67	7.405	3.390	5.529	
bacterial	102	7.625	2.029	5.519	
compositions	57	7.369	5.380	5.519	
Stable	55	7.341	6.621	5.507	
via	66	7.328	3.350	5.504	
permafrost	56	7.317	5.494	5.500	
utilization	56	7.303	5.374	5.495	
increases	65	7.287	3.379	5.491	
available	68	7.282	3.096	5.487	
pathways	66	7.273	3.255	5.486	
transport	66	7.244	3.207	5.476	
sequestered	53	7.249	7.852	5.470	
additional	63	7.217	3.463	5.468	
