# Collocations

# Corpus: nature_full
# Query:  word,[lc="carbon"|lemma_lc="carbon"] 38866

	Freq	T-score	MI	logDice	
precursors	18	4.025	4.283	3.878	
variations	20	3.525	2.239	3.876	
metal	20	3.508	2.214	3.873	
along	22	3.070	1.533	3.873	
specific	24	2.664	1.133	3.871	
Regulation	18	3.989	4.065	3.870	
measure	19	3.733	2.799	3.870	
43	19	3.724	2.779	3.868	
signature	18	3.977	3.997	3.868	
abundance	24	2.638	1.115	3.866	
2	52	-0.768	-0.146	3.863	
reported	22	3.013	1.483	3.862	
adding	18	3.937	3.796	3.860	
bonds	18	3.928	3.753	3.858	
given	21	3.152	1.679	3.848	
edge	18	3.877	3.537	3.847	
biogeochemical	18	3.869	3.506	3.846	
heterotrophic	18	3.867	3.498	3.845	
wt	18	3.847	3.422	3.841	
limits	18	3.844	3.411	3.841	
induced	20	3.342	1.984	3.841	
gasified	17	4.118	9.742	3.840	
debt	17	4.111	8.389	3.839	
sp3	17	4.109	8.193	3.838	
nanofiber	17	4.109	8.175	3.838	
tons	17	4.089	6.912	3.834	
Volcanic	17	4.088	6.875	3.834	
balances	17	4.081	6.609	3.832	
below-ground	17	4.079	6.561	3.832	
fixing	17	4.079	6.549	3.832	
microporous	17	4.078	6.526	3.832	
offsets	17	4.077	6.475	3.832	
aliphatic	17	4.077	6.469	3.832	
Initiative	17	4.061	6.054	3.828	
Program	18	3.782	3.204	3.828	
structures	21	3.036	1.567	3.826	
grids	17	4.045	5.716	3.825	
conservation	18	3.750	3.106	3.822	
Neoproterozoic	17	4.029	5.450	3.822	
Increasing	17	4.018	5.293	3.820	
usage	17	4.014	5.242	3.819	
doubling	17	4.004	5.111	3.817	
around	20	3.201	1.815	3.814	
calcium	18	3.709	2.991	3.814	
cell	39	0.120	0.028	3.813	
properties	21	2.946	1.486	3.810	
AC	17	3.966	4.714	3.809	
acids	20	3.173	1.783	3.809	
backbone	17	3.958	4.646	3.807	
greater	20	3.146	1.754	3.804	
exogenous	17	3.936	4.462	3.803	
length	20	3.103	1.708	3.796	
taken	19	3.349	2.110	3.795	
proportion	18	3.606	2.736	3.793	
sediments	20	3.085	1.689	3.792	
reactions	19	3.272	2.004	3.780	
so	21	2.757	1.328	3.776	
contribution	18	3.505	2.524	3.774	
table	19	3.234	1.954	3.773	
requires	18	3.502	2.518	3.773	
plus	17	3.732	3.400	3.762	
become	18	3.440	2.402	3.761	
differences	21	2.675	1.264	3.761	
labelled	17	3.716	3.339	3.759	
transformation	17	3.709	3.315	3.757	
Vulcan	16	3.993	9.200	3.752	
3-hydroxypropionate/4-hydroxybutyrate	16	3.993	9.088	3.752	
had	22	2.394	1.030	3.752	
Autotrophic	16	3.986	8.200	3.751	
payments	16	3.978	7.527	3.749	
overall	18	3.363	2.270	3.747	
Corg	16	3.964	6.802	3.747	
atmosphere-ocean	16	3.960	6.642	3.746	
peatland	16	3.959	6.609	3.746	
But	18	3.356	2.259	3.745	
excursions	16	3.957	6.552	3.745	
Storage	16	3.956	6.509	3.745	
doubled	16	3.937	5.992	3.741	
genes	33	0.354	0.092	3.739	
inside	17	3.613	3.014	3.739	
contains	18	3.316	2.195	3.738	
coatings	16	3.906	5.410	3.735	
prepared	18	3.279	2.139	3.731	
enriched	17	3.568	2.892	3.730	
Next	21	2.481	1.125	3.727	
fibre	16	3.850	4.739	3.724	
convert	16	3.845	4.692	3.723	
Low	16	3.825	4.515	3.719	
represent	20	2.671	1.312	3.717	
supplied	16	3.810	4.397	3.716	
Increased	16	3.789	4.246	3.712	
three	25	1.520	0.523	3.711	
P.	36	-0.277	-0.065	3.711	
down	17	3.467	2.651	3.711	
especially	17	3.433	2.578	3.704	
missing	16	3.745	3.974	3.703	
Arctic	18	3.120	1.918	3.701	
responses	19	2.831	1.513	3.699	
linked	17	3.384	2.480	3.695	
rapidly	17	3.382	2.477	3.695	
whether	19	2.798	1.481	3.693	
atmosphere	18	3.069	1.854	3.692	
quality	17	3.346	2.408	3.688	
little	17	3.303	2.329	3.680	
affects	16	3.615	3.377	3.678	
owing	17	3.265	2.265	3.673	
impact	18	2.944	1.707	3.669	
aerobic	16	3.564	3.199	3.668	
whereas	20	2.383	1.098	3.667	
rise	17	3.227	2.202	3.666	
precursor	16	3.540	3.122	3.664	
mixed	17	3.207	2.171	3.662	
aquatic	16	3.524	3.070	3.661	
microfibers	15	3.868	9.732	3.660	
walled	15	3.865	8.995	3.659	
plantings	15	3.863	8.562	3.659	
tonne	15	3.856	7.825	3.657	
relatively	18	2.865	1.622	3.655	
mechanism	19	2.560	1.277	3.652	
changing	16	3.474	2.928	3.651	
nitrate	17	3.139	2.067	3.650	
largest	16	3.463	2.896	3.649	
suggests	18	2.824	1.581	3.648	
disordered	15	3.802	5.770	3.647	
fertility	15	3.793	5.596	3.645	
B.	29	0.321	0.089	3.645	
previously	19	2.514	1.240	3.644	
entering	15	3.777	5.331	3.642	
transformations	15	3.770	5.227	3.641	
hybridized	15	3.767	5.195	3.640	
greenhouse	16	3.392	2.718	3.636	
found	24	1.219	0.413	3.633	
fuels	15	3.690	4.404	3.625	
vents	15	3.683	4.347	3.624	
delta13C	15	3.674	4.281	3.622	
many	21	1.853	0.747	3.622	
plants	19	2.383	1.141	3.622	
C4	15	3.668	4.241	3.621	
CH4	16	3.305	2.524	3.620	
gray	15	3.658	4.173	3.619	
five	17	2.970	1.838	3.619	
indicate	20	2.093	0.911	3.619	
white	16	3.286	2.485	3.616	
our	25	0.888	0.282	3.615	
layers	16	3.257	2.428	3.611	
transported	15	3.610	3.879	3.610	
affecting	15	3.566	3.656	3.602	
rich	15	3.562	3.637	3.601	
anomaly	15	3.557	3.615	3.600	
obtained	20	1.972	0.839	3.599	
presence	20	1.965	0.835	3.598	
components	17	2.834	1.677	3.595	
multiple	18	2.515	1.296	3.594	
shelf	15	3.524	3.472	3.594	
generated	18	2.513	1.294	3.594	
reduces	15	3.521	3.462	3.594	
been	34	-0.960	-0.220	3.587	
makes	15	3.484	3.317	3.587	
double	15	3.445	3.178	3.579	
substantially	15	3.427	3.119	3.576	
cause	16	3.051	2.076	3.574	
roots	15	3.364	2.928	3.564	
small	20	1.754	0.719	3.564	
even	18	2.314	1.137	3.560	
Riverine	14	3.732	8.632	3.559	
required	18	2.307	1.132	3.559	
Aligned	14	3.727	8.008	3.558	
near	16	2.955	1.937	3.557	
StumbleUpon	15	3.310	2.783	3.555	
credit	14	3.690	6.173	3.551	
information	36	-1.584	-0.338	3.549	
fossil-fuel	14	3.675	5.816	3.549	
nanostructured	14	3.668	5.663	3.547	
Letter	15	3.268	2.680	3.547	
accumulating	14	3.662	5.563	3.546	
although	17	2.539	1.380	3.544	
1D	14	3.642	5.231	3.542	
determinant	14	3.619	4.932	3.538	
utilized	14	3.612	4.849	3.537	
sinking	14	3.607	4.797	3.536	
44	15	3.187	2.497	3.532	
significantly	18	2.139	1.012	3.531	
molecules	17	2.463	1.313	3.531	
limited	16	2.804	1.742	3.530	
minimum	15	3.164	2.449	3.528	
indicates	17	2.435	1.289	3.527	
preservation	14	3.556	4.336	3.527	
abundant	16	2.764	1.694	3.523	
current	17	2.401	1.260	3.521	
variation	17	2.396	1.255	3.520	
parameters	16	2.735	1.661	3.519	
efflux	14	3.468	3.775	3.510	
anode	14	3.468	3.772	3.510	
ecosystems	16	2.628	1.543	3.500	
modelled	14	3.396	3.438	3.497	
These	22	0.746	0.250	3.493	
readily	14	3.359	3.291	3.491	
directly	16	2.563	1.477	3.489	
controlling	14	3.349	3.254	3.489	
involving	14	3.345	3.238	3.488	
silica	14	3.309	3.111	3.482	
calculations	14	3.307	3.106	3.481	
adjacent	14	3.259	2.953	3.473	
When	15	2.822	1.882	3.469	
called	14	3.218	2.837	3.465	
Change	16	2.364	1.290	3.456	
profiles	15	2.740	1.773	3.454	
insights	14	3.155	2.672	3.454	
sp2-bonded	13	3.602	10.203	3.454	
non-porous	13	3.598	8.825	3.453	
represents	15	2.726	1.756	3.452	
trading	13	3.589	7.806	3.451	
concentrating	13	3.583	7.329	3.450	
dominated	14	3.129	2.611	3.450	
Activated	13	3.579	7.099	3.449	
plant-derived	13	3.578	7.044	3.449	
Rising	13	3.576	6.911	3.449	
bonded	13	3.573	6.797	3.448	
obtain	14	3.120	2.590	3.448	
primarily	14	3.116	2.580	3.447	
except	14	3.105	2.554	3.446	
bound	14	3.104	2.552	3.445	
detrital	13	3.540	5.788	3.442	
analyzer	13	3.528	5.540	3.440	
Emissions	13	3.520	5.396	3.439	
releasing	13	3.519	5.386	3.439	
integrated	14	3.060	2.456	3.438	
transferred	14	3.058	2.453	3.437	
rapid	15	2.609	1.616	3.433	
C1	13	3.447	4.507	3.426	
probably	15	2.546	1.546	3.422	
BC	13	3.426	4.324	3.422	
microbes	14	2.958	2.255	3.420	
An	16	2.128	1.096	3.418	
samples	23	-0.065	-0.019	3.417	
warming	16	2.104	1.077	3.414	
numbers	15	2.473	1.468	3.410	
four	16	2.067	1.050	3.408	
units	14	2.869	2.100	3.405	
example	20	0.685	0.240	3.404	
acetate	14	2.862	2.088	3.404	
glacial	14	2.858	2.083	3.403	
pulse	13	3.320	3.660	3.403	
then	19	0.973	0.364	3.401	
depleted	13	3.302	3.570	3.400	
well	19	0.955	0.357	3.398	
rhizosphere	13	3.281	3.473	3.396	
biosphere	13	3.277	3.456	3.396	
US	14	2.813	2.011	3.396	
square	13	3.267	3.413	3.394	
In	43	-4.129	-0.705	3.392	
quantify	13	3.245	3.323	3.390	
toward	13	3.236	3.286	3.388	
drive	13	3.235	3.282	3.388	
novel	15	2.325	1.323	3.386	
1	43	-4.215	-0.716	3.384	
possible	16	1.908	0.935	3.383	
labeled	13	3.183	3.092	3.379	
bond	13	3.174	3.064	3.378	
To	19	0.777	0.283	3.373	
signals	14	2.652	1.779	3.369	
diverse	14	2.628	1.748	3.365	
depends	13	3.084	2.791	3.362	
unique	14	2.607	1.721	3.361	
enough	13	3.064	2.735	3.359	
known	17	1.371	0.583	3.359	
state	15	2.152	1.170	3.358	
inferred	13	3.050	2.698	3.356	
respect	13	3.033	2.656	3.354	
stability	14	2.559	1.662	3.353	
standard	15	2.029	1.071	3.339	
formed	14	2.469	1.556	3.339	
dioxide1	12	3.462	10.410	3.338	
nanotube-based	12	3.461	10.187	3.338	
Nanoporous	12	3.447	7.637	3.336	
Balance	12	3.446	7.569	3.336	
land-atmosphere	12	3.445	7.503	3.335	
sufficient	13	2.925	2.405	3.335	
savings	12	3.438	7.052	3.334	
Mesoporous	12	3.429	6.637	3.333	
hectare	12	3.423	6.402	3.332	
cloth	12	3.419	6.260	3.331	
quaternary	12	3.417	6.213	3.331	

